,coefficient
brain_cerebellum,-0.8352157592405149
log2fc_brain_vs_nonbrain,0.6532803729928912
brain_mean,0.5815363086127019
nonbrain_max,-0.5566765331734017
kurt,-0.5017128507553811
n_obs,0.5012040694692421
skew,0.4802038681817815
tau,-0.4640329408206588
brain_max,0.45365049434192634
maxheight,-0.426931993470457
min,0.371367217585022
w_x0,0.33743957050684525
std,-0.3331633874855012
nonbrain_mean,0.2523166718602008
truncationindex,-0.242792241539509
cv,0.2377626095345808
rightheight,-0.1667689686598099
A,-0.1489450881077467
mean,0.1341971031137991
max,0.13117654855670643
ti_fourparam_sigma_dist,-0.11726621712039594
x0,0.06779851884609345
y0,0.01444554068091555
