list,library,brain_term_rank,brain_term_adj_p,brain_term_odds_ratio
POS,GTEx_Tissues_V8_2023,4.0,0.29635787620352466,18.075399411278084
POS,ARCHS4_Tissues,1.0,0.5902740822390509,11.810106221868162
POS,Human_Gene_Atlas,1.0,0.020228687481781766,37.531685674312165
POS,Jensen_TISSUES,18.0,0.011530509240463935,17.383492864701907
POS,Allen_Brain_Atlas_up,9.0,0.2527132771431232,28.083443393771734
TOL_tissue_matched,GTEx_Tissues_V8_2023,1.0,0.4252656643481795,29.294844142785596
TOL_tissue_matched,ARCHS4_Tissues,16.0,0.9999941540126513,1.2325259795055696
TOL_tissue_matched,Human_Gene_Atlas,5.0,0.9999251033859659,2.763534107995956
TOL_tissue_matched,Jensen_TISSUES,,,
TOL_tissue_matched,Allen_Brain_Atlas_up,1.0,0.9686277833959773,7.889469326719006
